nta2020,crime_pct,crime_per_km2,crime_count
QN0203,0.5038167938931297,362.292589292297,1934.0
QN0261,0.16793893129770993,34.428207896528164,49.0
QN0271,0.09923664122137404,14.688102781200305,34.0
QN0301,0.7709923664122137,999.3722859915674,6368.0
QN0302,0.5076335877862596,364.14578352117087,1698.0
QN0303,0.8282442748091603,1130.1008907249707,2557.0
QN0401,0.8244274809160306,1128.5582614699688,7697.0
QN0402,0.7290076335877863,814.1457860744656,3169.0
QN0501,0.3435114503816794,177.08336389695432,1672.0
QN0502,0.5229007633587787,385.43851481712903,2654.0
QN0503,0.41603053435114506,269.99769194921964,1311.0
QN0504,0.3282442748091603,154.67234400423692,875.0
QN0571,0.09541984732824428,12.925123198015795,16.0
QN0572,0.08396946564885496,10.089517269283796,9.0
QN0573,0.16030534351145037,31.05037207064644,44.0
QN0574,0.1183206106870229,18.608187770776407,94.0
QN0601,0.5534351145038168,427.23386608961044,1397.0
QN0602,0.48854961832061067,343.3819461382575,3222.0
QN0701,0.3244274809160305,153.04512001696662,1656.0
QN0702,0.24045801526717558,88.99951164197809,760.0
QN0703,0.22519083969465647,73.06818030864585,466.0
QN0704,0.31679389312977096,147.60279630482816,1351.0
QN0705,0.31297709923664124,145.0045424599934,744.0
QN0706,0.3549618320610687,188.2496368763591,806.0
QN0707,0.732824427480916,855.7300187042229,5345.0
QN0761,0.05725190839694656,3.5436438606685177,4.0
QN0791,0.07633587786259542,8.964355146945442,16.0
QN0801,0.37404580152671757,205.22399933339733,1140.0
QN0802,0.4312977099236641,282.9319364905655,1694.0
QN0803,0.3473282442748092,178.3597851717239,959.0
QN0804,0.32061068702290074,147.947531038376,944.0
QN0805,0.46946564885496184,323.82623216665354,1449.0
QN0871,0.013358778625954198,0.0,0.0
QN0891,0.10687022900763359,14.779793437214192,51.0
QN0901,0.40076335877862596,230.89262128042503,758.0
QN0902,0.5648854961832062,434.31968440602475,2127.0
QN0903,0.5954198473282443,498.48934011446124,1278.0
QN0904,0.5305343511450382,389.71721369728044,1140.0
QN0905,0.5343511450381679,408.00810077635924,1566.0
QN1001,0.48091603053435117,332.153116920345,4395.0
QN1002,0.45038167938931295,301.26837876745293,1223.0
QN1003,0.29770992366412213,134.44879676485482,1143.0
QN1091,0.04580152671755725,2.089650921884479,4.0
QN1101,0.2786259541984733,118.70082068418998,1067.0
QN1102,0.26717557251908397,108.20529922620511,1235.0
QN1103,0.1984732824427481,54.21950758856962,599.0
QN1104,0.24427480916030533,93.91791677560364,603.0
QN1191,0.13358778625954199,23.377436489146266,99.0
QN1201,0.8778625954198473,1269.4851440815826,9620.0
QN1202,0.5725190839694656,447.61836328669614,2742.0
QN1203,0.583969465648855,472.5655771772242,3664.0
QN1204,0.4351145038167939,286.256737198463,1595.0
QN1205,0.37786259541984735,209.4767252984021,2517.0
QN1206,0.44274809160305345,295.41334311927955,1170.0
QN1301,0.2366412213740458,87.37208831934342,643.0
QN1302,0.25572519083969464,99.657841419539,893.0
QN1303,0.40458015267175573,238.8304439660941,2693.0
QN1304,0.3053435114503817,141.48498532019107,757.0
QN1305,0.3511450381679389,178.99218158812803,1153.0
QN1306,0.3320610687022901,156.74988808054317,1455.0
QN1307,0.30916030534351147,142.79460209388378,1090.0
QN1371,0.03816793893129771,1.1617885012015963,1.0
QN1401,0.5381679389312977,413.88944531045706,4038.0
QN1402,0.5,353.10211140227875,2876.0
QN1403,0.23282442748091603,83.32288728263053,930.0
QN1491,0.14885496183206107,29.152955214210756,42.0
QN8081,0.1297709923664122,22.5768394522337,112.0
QN8191,0.22900763358778625,83.30057768880535,745.0
QN8291,0.14122137404580154,25.997033973628795,101.0
QN8381,0.08015267175572519,9.009561133014149,287.0
QN8491,0.026717557251908396,0.44305984073375015,5.0
QN8492,0.03435114503816794,0.7075047238422439,6.0
SI0101,0.6755725190839694,667.7141271765358,2859.0
SI0102,0.6717557251908397,644.155376509506,2521.0
SI0103,0.3969465648854962,227.2944172094057,1293.0
SI0104,0.2900763358778626,126.76389696202227,1747.0
SI0105,0.25190839694656486,97.15132411245193,1200.0
SI0106,0.46564885496183206,320.5958250370516,1876.0
SI0107,0.33587786259541985,157.06347979914526,2267.0
SI0191,0.06870229007633588,8.214500943253903,5.0
SI0201,0.2862595419847328,124.67838802317115,1611.0
SI0202,0.29389312977099236,133.69198398598994,1340.0
SI0203,0.15267175572519084,30.020393366404257,902.0
SI0204,0.183206106870229,44.40301492749664,1500.0
SI0291,0.20610687022900764,57.85408139071132,636.0
SI0301,0.20229007633587787,57.13625779982592,515.0
SI0302,0.22137404580152673,66.68267717671503,1254.0
SI0303,0.2099236641221374,60.72657022982646,663.0
SI0304,0.15648854961832062,30.47072211220449,885.0
SI0305,0.17557251908396945,38.66673420865997,789.0
SI0391,0.04961832061068702,2.728320628006954,21.0
SI9561,0.061068702290076333,5.025650199765713,8.0
SI9591,0.013358778625954198,0.0,0.0
SI9592,0.12595419847328243,19.98416799688242,35.0
SI9593,0.04198473282442748,1.8590617837213712,7.0
